09045371,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045371,"Ahrensfelder Chaussee 79/81
",Kath. Kirche St. Konrad von Parzham,"1938–1940 von Josef Bachem, Bildwerke von Ruth Schaumann, Glasmalerei von Egbert Lammers",52.570772,13.555325,""
09045384,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045384,"Dorfstraße 31–34
Hausvaterweg 7/9
",Landarbeiterwohnhäuser mit Nebengebäuden,"5 Landarbeiterwohnhäuser, um 1890",52.56873_,13.543246_,""
09045388,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045388,"Dorfstraße 39A
",Friedhofskapelle & Friedhof,"Friedhofsanlage, 14. Jh.",52.570514,13.537749,""
09045372,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045372,"Dorfstraße 1
",Hofanlage,"Wohnhaus, um 1850",52.570371,13.534638,""
09045374,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045374,"Dorfstraße 4, 4A
",Gutsarbeiterhaus,um 1856,52.570054,13.537082,""
09045380,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045380,"Dorfstraße 13
",Hofanlage,"Wohnhaus, um 1875",52.56864_,13.540443_,""
09045392,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045392,"Dorfstraße 44
",Hofanlage,Wohnhaus 1866,52.570585,13.536182,""
09045393,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045393,"Dorfstraße 46
",Stall,1883,52.570821,13.535168,""
09045397,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045397,"Dorfstraße 51
",Wohnhaus und Scheune,"Wohnhaus, um 1880",52.57079_,13.533004_,""
